Column_A,Column_B,Correlation,P_value,FDR
C8-pos_Cluster_2181,Diagnosis,-0.2136627707675654,0.01389654268521632,0.02252807637133862
C18-neg_Cluster_0290,Diagnosis,-0.24747317439018032,0.004225110914957378,0.007993626890855435
C18-neg_Cluster_0404,Diagnosis,-0.5339949342561155,4.291886927466966e-11,1.1472721399659006e-09
C8-pos_Cluster_0076,Diagnosis,-0.35199492187816855,3.4896697133472734e-05,0.00013284365378427116
C8-pos_Cluster_1850,Diagnosis,-0.06640096210329427,0.4493684273013475,0.4927789635073445
C8-pos_Cluster_2101,Diagnosis,-0.32373343968332047,0.00015276622779643046,0.0004603355664265771
C8-pos_Cluster_1429,Diagnosis,-0.32377786867727787,0.00015242888027987162,0.0004595975698917657
HILIC-neg_Cluster_1694,Diagnosis,-0.39587732329878617,2.6216408164934685e-06,1.516151677098142e-05
HILIC-pos_Cluster_1191,Diagnosis,-0.5409453864872558,2.1414616620483195e-11,6.337706776014432e-10
C8-pos_Cluster_1407,Diagnosis,-0.20402509609318678,0.018950000971647476,0.029628743657556997
HILIC-neg_Cluster_0681,Diagnosis,0.18504972447842716,0.03365175952649069,0.04939963045931848
C18-neg_Cluster_0586,Diagnosis,-0.46847905081150626,1.471162925862534e-08,1.9350852030128358e-07
HILIC-pos_Cluster_0529,Diagnosis,-0.5906799530922942,8.99124192958581e-14,6.5741845402795065e-12
C8-pos_Cluster_2311,Diagnosis,0.059952611850742354,0.4946913151635869,0.5371489886423573
C18-neg_Cluster_1052,Diagnosis,0.2100794372031987,0.015618223434963588,0.024920990667085675
HILIC-neg_Cluster_1008,Diagnosis,0.3898092334856518,3.835978310342188e-06,2.073096104241452e-05
HILIC-neg_Cluster_1424,Diagnosis,-0.28067800574209706,0.0011146743410394627,0.002495344810287352
C18-neg_Cluster_1484,Diagnosis,-0.3947178591743435,2.821058221220928e-06,1.6090948951811624e-05
HILIC-pos_Cluster_1692,Diagnosis,-0.3485914580930729,4.200584713905725e-05,0.0001547059792410316
HILIC-neg_Cluster_0531,Diagnosis,-0.5210095761058519,1.5089710926505268e-10,3.489583382631823e-09
HILIC-pos_Cluster_1552,Diagnosis,0.2826020059171676,0.0010265090118444045,0.002315700003126306
C8-pos_Cluster_1747,Diagnosis,0.2913542870776045,0.0007004286003986794,0.001676712085306805
C8-pos_Cluster_1988,Diagnosis,-0.30913849545170086,0.00031010433018113613,0.0008361381397291804
HILIC-pos_Cluster_0805,Diagnosis,-0.4119346285751367,9.227306776625223e-07,6.1498886452252815e-06
HILIC-pos_Cluster_1514,Diagnosis,-0.3471929258633039,4.5303500531605864e-05,0.00016405608495494856
C8-pos_Cluster_1657,Diagnosis,0.37049979777119224,1.2261078600861859e-05,5.577500713951067e-05
HILIC-pos_Cluster_2225,Diagnosis,-0.373066383480127,1.0550840172210026e-05,4.926128441640843e-05
C8-pos_Cluster_0074,Diagnosis,-0.3006620932295768,0.00046022285798538276,0.0011698507412593675
