Significant_PC,Bacteria_PC
PC1,Bifidobacterium_catenulatum
PC2,Bifidobacterium_catenulatum
PC3,Bifidobacterium_catenulatum
PC1,Akkermansia_muciniphila
PC3,Akkermansia_muciniphila
PC1,Alistipes_indistinctus
PC8,Alistipes_indistinctus
