Significant_PC,Bacteria_PC
PC5,PC1
PC14,PC1
PC1,PC2
PC1,PC3
PC4,PC3
PC38,PC4
PC1,PC5
PC3,PC5
PC5,PC5
PC5,PC6
PC1,PC7
PC14,PC7
PC3,PC8
PC1,PC9
PC5,PC9
PC38,PC11
PC1,PC12
PC3,PC12
PC4,PC13
PC43,PC13
PC3,PC14
PC14,PC14
PC38,PC14
PC4,PC15
PC38,PC18
PC14,PC22
PC19,PC25
PC14,PC27
PC4,PC29
PC1,PC30
PC4,PC32
PC10,PC32
PC3,PC35
PC43,PC40
PC1,PC43
PC19,PC43
PC3,PC44
PC19,PC44
