Column_A,Column_B,Correlation,P_value,FDR
C18-neg_Cluster_0157,Diagnosis,0.26268878169879323,0.002342431005737576,0.007156709094877788
C18-neg_Cluster_0158,Diagnosis,0.4474999373005622,7.462196578798607e-08,1.245764440173775e-06
C18-neg_Cluster_0159,Diagnosis,-0.541232233774642,2.080177927092527e-11,1.0826714293479223e-09
C18-neg_Cluster_0160,Diagnosis,-0.5023849108270789,8.369447847337475e-10,2.6637724659439566e-08
C18-neg_Cluster_0162,Diagnosis,0.6091629320172677,9.177284846184382e-15,1.804458140423098e-12
C18-neg_Cluster_0163,Diagnosis,-0.21353150700166076,0.013956560181916676,0.031429789893000444
C18-neg_Cluster_0165,Diagnosis,-0.377758083265315,7.990721002991013e-06,6.363885175535303e-05
C18-neg_Cluster_0170,Diagnosis,-0.35679005099819444,2.677668470656479e-05,0.00017395015145645027
C18-neg_Cluster_0173,Diagnosis,-0.4756741353576332,8.2163022974091e-09,1.9754848567248834e-07
C18-neg_Cluster_0176,Diagnosis,-0.4539291408623239,4.589505151472403e-08,8.372771459840789e-07
C18-neg_Cluster_0178,Diagnosis,-0.3845795946463191,5.293352426167231e-06,4.5164495917770164e-05
C18-neg_Cluster_0179,Diagnosis,-0.24177338015273908,0.0052237173965127524,0.013923137723347368
C18-neg_Cluster_0180,Diagnosis,-0.4503613947747684,6.017949569764453e-08,1.0523086520410253e-06
C18-neg_Cluster_0181,Diagnosis,-0.23796194376017232,0.006004148905390609,0.01565714987176425
C18-neg_Cluster_0182,Diagnosis,-0.2786283322664519,0.0012161670446840926,0.004102419371469634
C18-neg_Cluster_0186,Diagnosis,-0.2927318313821725,0.0006587993117350027,0.002475183146595033
C18-neg_Cluster_0187,Diagnosis,-0.2861142462309628,0.0008818269608920955,0.0031110067583625446
C18-neg_Cluster_0190,Diagnosis,-0.32572134686589294,0.00013833258504909247,0.000669566035292325
C18-neg_Cluster_0191,Diagnosis,-0.48027366070479593,5.6217198092525725e-09,1.4171218482127282e-07
C18-neg_Cluster_0192,Diagnosis,-0.28981359712773364,0.000749841573536484,0.0027449723800789454
